,best fitness error,best fitness stdv,msle (subset),msle (all),r2 (subset),r2 (all),mae (subset),mae (all),ratio selected,selected features,time
0,0.1545311447104774,0.038027523953690044,-5.920425844175695e-05,-5.1257737079909485e-05,0.926231828226104,0.9286400128879144,-1.5756874603114994,-5.1257737079909485e-05,4,"['subject', 'ang', 'xF', 'yRM']",5.029551332
1,0.1343212358004641,0.05719198861190771,-6.750147036700788e-05,-5.1257737079909485e-05,0.9078281166343658,0.9286400128879144,-1.6803087574861604,-5.1257737079909485e-05,3,"['wF', 'xN', 'yRM']",5.113116778999999
2,0.1492183476510115,0.030681775612209538,-4.481807756748206e-05,-5.1257737079909485e-05,0.9368574223450359,0.9286400128879144,-1.4188107305437618,-5.1257737079909485e-05,4,"['yF', 'xRE', 'yLE', 'yRM']",5.014933597999999
3,0.13864947845929337,0.04956218931578392,-7.675409246072335e-05,-5.1257737079909485e-05,0.8991716313167073,0.9286400128879144,-1.8902970076733978,-5.1257737079909485e-05,3,"['ang', 'yLE', 'yRM']",5.205367891000002
4,0.17555719894471744,0.02891152558270821,-4.191503041021018e-05,-5.1257737079909485e-05,0.9430032491693886,0.9286400128879144,-1.3605697439445028,-5.1257737079909485e-05,5,"['label', 'wF', 'xLE', 'yLE', 'yRM']",5.098653796999997
5,0.1861917646456397,0.04639789990104788,-5.8719977274450686e-05,-5.1257737079909485e-05,0.9217341177675442,0.9286400128879144,-1.5397043918209865,-5.1257737079909485e-05,5,"['xF', 'hF', 'xRE', 'yRM', 'xLM']",5.0200994439999995
6,0.15639209053494377,0.04663466823899675,-6.10067293737465e-05,-5.1257737079909485e-05,0.9225099365771714,0.9286400128879144,-1.608534813727689,-5.1257737079909485e-05,4,"['imgNum', 'yF', 'yRM', 'xLM']",5.163119878999996
7,0.18284281079301076,0.038736471161262546,-5.5582251880744856e-05,-5.1257737079909485e-05,0.9284320254728019,0.9286400128879144,-1.5315867343374703,-5.1257737079909485e-05,5,"['subject', 'wF', 'hF', 'xRE', 'yRM']",5.290777211000005
8,0.18808189333258457,0.05018496721002263,-6.376387868824632e-05,-5.1257737079909485e-05,0.9179538603936545,0.9286400128879144,-1.6103288834230398,-5.1257737079909485e-05,5,"['ang', 'wF', 'hF', 'xRE', 'yRM']",5.230732758000002
9,0.19402329232358084,0.05600010300084518,-7.18685179104036e-05,-5.1257737079909485e-05,0.906071062411662,0.9286400128879144,-1.7114638805101723,-5.1257737079909485e-05,5,"['yF', 'hF', 'yN', 'xRM', 'yRM']",5.241314375000002
10,0.1818144355538242,0.03519156607445071,-5.765862399431783e-05,-5.1257737079909485e-05,0.9304887759511751,0.9286400128879144,-1.567250977236199,-5.1257737079909485e-05,5,"['label', 'yRE', 'xN', 'yRM', 'xLM']",5.294589541999997
11,0.14703679996841065,0.029264616150885738,-4.4718704398032925e-05,-5.1257737079909485e-05,0.9412205177102374,0.9286400128879144,-1.4142877857393361,-5.1257737079909485e-05,4,"['label', 'yLE', 'xN', 'yRM']",5.212254975999997
12,0.18458872595286696,0.041476447874454286,-5.841000576636993e-05,-5.1257737079909485e-05,0.9249401951530898,0.9286400128879144,-1.5772390823919742,-5.1257737079909485e-05,5,"['yF', 'wF', 'xN', 'xRM', 'yRM']",5.197814843999993
13,0.1798690386119976,0.0316090942872172,-4.845250942268051e-05,-5.1257737079909485e-05,0.9343795698348283,0.9286400128879144,-1.4749262388677682,-5.1257737079909485e-05,5,"['hF', 'yLE', 'xN', 'yRM', 'xLM']",5.220313500999993
14,0.1642686461273329,0.0554919499425892,-7.107004160364786e-05,-5.1257737079909485e-05,0.906756825392393,0.9286400128879144,-1.7005737818621647,-5.1257737079909485e-05,4,"['ang', 'xN', 'xRM', 'yRM']",5.114805431999997
15,0.18523477530850935,0.040064016755640565,-6.593174982833862e-05,-5.1257737079909485e-05,0.923648096441805,0.9286400128879144,-1.6801171791662664,-5.1257737079909485e-05,5,"['label', 'yF', 'yRE', 'yRM', 'xLM']",5.062968024
16,0.16120442733230872,0.05634904856816351,-6.71110629201348e-05,-5.1257737079909485e-05,0.9128852629824413,0.9286400128879144,-1.6527650011354527,-5.1257737079909485e-05,4,"['imgNum', 'xN', 'yRM', 'xLM']",5.172832570000011
17,0.1497340758036533,0.033318626001010716,-4.5178274737124334e-05,-5.1257737079909485e-05,0.9358259660397522,0.9286400128879144,-1.4135143359628624,-5.1257737079909485e-05,4,"['yRE', 'yLE', 'xN', 'yRM']",5.297360675000007
18,0.18860655959866918,0.046992240006676164,-6.562934039844168e-05,-5.1257737079909485e-05,0.9169045278614852,0.9286400128879144,-1.6460201855643333,-5.1257737079909485e-05,5,"['subject', 'hF', 'xN', 'xRM', 'yRM']",5.219623032000001
19,0.15568174791108796,0.040188222303954343,-5.9106763604440014e-05,-5.1257737079909485e-05,0.923930621824883,0.9286400128879144,-1.5707043488788024,-5.1257737079909485e-05,4,"['yRE', 'xLE', 'xN', 'yRM']",5.309673701999998
20,0.18773844394552586,0.060280674237172864,-0.00010214106313648964,-5.1257737079909485e-05,0.8598172297560073,0.9286400128879144,-2.2185368049569467,-5.1257737079909485e-05,4,"['subject', 'label', 'yLE', 'xLM']",5.214930597999995
21,0.15139163173344444,0.03536957890317719,-4.820272532202966e-05,-5.1257737079909485e-05,0.9325108541801699,0.9286400128879144,-1.4557545339206697,-5.1257737079909485e-05,4,"['subject', 'yLE', 'yRM', 'xLM']",5.284853643999995
22,0.19966782293312133,0.06294891880048402,-8.373580616108733e-05,-5.1257737079909485e-05,0.8947820011925808,0.9286400128879144,-1.8336917983089343,-5.1257737079909485e-05,5,"['wF', 'yRE', 'yN', 'yRM', 'xLM']",5.253753963999998
23,0.18709154822679963,0.04279057414960155,-5.678198035163685e-05,-5.1257737079909485e-05,0.9199345506052243,0.9286400128879144,-1.5903639893330905,-5.1257737079909485e-05,5,"['yF', 'wF', 'yRE', 'yLE', 'yRM']",5.236915891999999
24,0.2088814617025337,0.049258944377267994,-9.516319157612498e-05,-5.1257737079909485e-05,0.8763547236537562,0.9286400128879144,-2.102714354056237,-5.1257737079909485e-05,5,"['imgNum', 'yF', 'hF', 'yLE', 'xN']",5.396809608000012
